InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.3866,us-west-2a,2016-01-01,0,0.395873
m4.10xlarge,0.4019,us-west-2a,2016-01-01,1,0.402734
m4.10xlarge,0.4031,us-west-2a,2016-01-01,2,0.38805
m4.10xlarge,0.3766,us-west-2a,2016-01-01,3,0.375021
m4.10xlarge,0.3741,us-west-2a,2016-01-01,4,0.374509
m4.10xlarge,0.3751,us-west-2a,2016-01-01,5,0.374558
m4.10xlarge,0.3782,us-west-2a,2016-01-01,6,0.376034
m4.10xlarge,0.3751,us-west-2a,2016-01-01,7,0.374677
m4.10xlarge,0.3731,us-west-2a,2016-01-01,8,0.372005
m4.10xlarge,0.3735,us-west-2a,2016-01-01,9,0.372174
m4.10xlarge,0.3725,us-west-2a,2016-01-01,10,0.373208
m4.10xlarge,0.3725,us-west-2a,2016-01-01,11,0.371694
m4.10xlarge,0.3725,us-west-2a,2016-01-01,12,0.37078
m4.10xlarge,0.369,us-west-2a,2016-01-01,13,0.370581
m4.10xlarge,0.3709,us-west-2a,2016-01-01,14,0.370833
m4.10xlarge,0.3709,us-west-2a,2016-01-01,15,0.370579
m4.10xlarge,0.37,us-west-2a,2016-01-01,16,0.370956
m4.10xlarge,0.3709,us-west-2a,2016-01-01,17,0.370738
m4.10xlarge,0.3771,us-west-2a,2016-01-01,18,0.388689
m4.10xlarge,0.393,us-west-2a,2016-01-01,19,0.392668
m4.10xlarge,0.3918,us-west-2a,2016-01-01,20,0.392741
m4.10xlarge,0.3918,us-west-2a,2016-01-01,21,0.392516
m4.10xlarge,0.3918,us-west-2a,2016-01-01,22,0.39205
m4.10xlarge,0.3895,us-west-2a,2016-01-01,23,0.388751
m4.10xlarge,0.3345,us-west-2a,2016-01-02,0,0.333299
m4.10xlarge,0.328,us-west-2a,2016-01-02,1,0.324104
m4.10xlarge,0.3217,us-west-2a,2016-01-02,2,0.315199
m4.10xlarge,0.3133,us-west-2a,2016-01-02,3,0.313379
m4.10xlarge,0.3143,us-west-2a,2016-01-02,4,0.312909
m4.10xlarge,0.3124,us-west-2a,2016-01-02,5,0.31563
m4.10xlarge,0.3191,us-west-2a,2016-01-02,6,0.319409
m4.10xlarge,0.3191,us-west-2a,2016-01-02,7,0.324122
m4.10xlarge,0.3254,us-west-2a,2016-01-02,8,0.325288
m4.10xlarge,0.3228,us-west-2a,2016-01-02,9,0.31803
m4.10xlarge,0.317,us-west-2a,2016-01-02,10,0.314771
m4.10xlarge,0.3128,us-west-2a,2016-01-02,11,0.313371
m4.10xlarge,0.3128,us-west-2a,2016-01-02,12,0.313535
m4.10xlarge,0.3143,us-west-2a,2016-01-02,13,0.312669
m4.10xlarge,0.3128,us-west-2a,2016-01-02,14,0.313454
m4.10xlarge,0.3153,us-west-2a,2016-01-02,15,0.312974
m4.10xlarge,0.3124,us-west-2a,2016-01-02,16,0.313714
m4.10xlarge,0.3133,us-west-2a,2016-01-02,17,0.31355
m4.10xlarge,0.3133,us-west-2a,2016-01-02,18,0.313745
m4.10xlarge,0.3133,us-west-2a,2016-01-02,19,0.313586
m4.10xlarge,0.3133,us-west-2a,2016-01-02,20,0.313768
m4.10xlarge,0.3133,us-west-2a,2016-01-02,21,0.313736
m4.10xlarge,0.3133,us-west-2a,2016-01-02,22,0.313697
m4.10xlarge,0.3138,us-west-2a,2016-01-02,23,0.313961
m4.10xlarge,0.3148,us-west-2a,2016-01-03,0,0.314271
m4.10xlarge,0.317,us-west-2a,2016-01-03,1,0.3265
m4.10xlarge,0.3292,us-west-2a,2016-01-03,2,0.323114
m4.10xlarge,0.3234,us-west-2a,2016-01-03,3,0.322962
m4.10xlarge,0.3228,us-west-2a,2016-01-03,4,0.334223
m4.10xlarge,0.3385,us-west-2a,2016-01-03,5,0.332852
m4.10xlarge,0.3272,us-west-2a,2016-01-03,6,0.32409
m4.10xlarge,0.3234,us-west-2a,2016-01-03,7,0.32259
m4.10xlarge,0.3175,us-west-2a,2016-01-03,8,0.31762
m4.10xlarge,0.318,us-west-2a,2016-01-03,9,0.311819
m4.10xlarge,0.3111,us-west-2a,2016-01-03,10,0.307883
m4.10xlarge,0.3053,us-west-2a,2016-01-03,11,0.304929
m4.10xlarge,0.3048,us-west-2a,2016-01-03,12,0.305176
m4.10xlarge,0.3053,us-west-2a,2016-01-03,13,0.30226
m4.10xlarge,0.3017,us-west-2a,2016-01-03,14,0.302275
m4.10xlarge,0.3021,us-west-2a,2016-01-03,15,0.30229
m4.10xlarge,0.3017,us-west-2a,2016-01-03,16,0.302812
m4.10xlarge,0.3021,us-west-2a,2016-01-03,17,0.302601
m4.10xlarge,0.3029,us-west-2a,2016-01-03,18,0.302726
m4.10xlarge,0.3037,us-west-2a,2016-01-03,19,0.303144
m4.10xlarge,0.3037,us-west-2a,2016-01-03,20,0.303575
m4.10xlarge,0.3042,us-west-2a,2016-01-03,21,0.303382
m4.10xlarge,0.3033,us-west-2a,2016-01-03,22,0.303249
m4.10xlarge,0.3046,us-west-2a,2016-01-03,23,0.303576
m4.10xlarge,0.3033,us-west-2a,2016-01-04,0,0.305756
