InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,QHOUR,AVG_SP
m4.10xlarge,0.3866,us-west-2a,2016-01-01,0,0,0.385907
m4.10xlarge,0.3833,us-west-2a,2016-01-01,0,1,0.391978
m4.10xlarge,0.3993,us-west-2a,2016-01-01,0,2,0.401867
m4.10xlarge,0.4044,us-west-2a,2016-01-01,0,3,0.403741
m4.10xlarge,0.4019,us-west-2a,2016-01-01,1,0,0.4019
m4.10xlarge,0.4019,us-west-2a,2016-01-01,1,1,0.4019
m4.10xlarge,0.4019,us-west-2a,2016-01-01,1,2,0.402525
m4.10xlarge,0.4044,us-west-2a,2016-01-01,1,3,0.404611
m4.10xlarge,0.4031,us-west-2a,2016-01-01,2,0,0.396714
m4.10xlarge,0.392,us-west-2a,2016-01-01,2,1,0.389649
m4.10xlarge,0.3872,us-west-2a,2016-01-01,2,2,0.386227
m4.10xlarge,0.3801,us-west-2a,2016-01-01,2,3,0.379611
m4.10xlarge,0.3766,us-west-2a,2016-01-01,3,0,0.3766
m4.10xlarge,0.3766,us-west-2a,2016-01-01,3,1,0.376654
m4.10xlarge,0.3741,us-west-2a,2016-01-01,3,2,0.37316
m4.10xlarge,0.3731,us-west-2a,2016-01-01,3,3,0.373668
m4.10xlarge,0.3741,us-west-2a,2016-01-01,4,0,0.374312
m4.10xlarge,0.3761,us-west-2a,2016-01-01,4,1,0.374154
m4.10xlarge,0.3731,us-west-2a,2016-01-01,4,2,0.373927
m4.10xlarge,0.3751,us-west-2a,2016-01-01,4,3,0.375644
m4.10xlarge,0.3751,us-west-2a,2016-01-01,5,0,0.374374
m4.10xlarge,0.3741,us-west-2a,2016-01-01,5,1,0.373549
m4.10xlarge,0.3741,us-west-2a,2016-01-01,5,2,0.374923
m4.10xlarge,0.3741,us-west-2a,2016-01-01,5,3,0.375383
m4.10xlarge,0.3782,us-west-2a,2016-01-01,6,0,0.377231
m4.10xlarge,0.3741,us-west-2a,2016-01-01,6,1,0.375673
m4.10xlarge,0.3761,us-west-2a,2016-01-01,6,2,0.375997
m4.10xlarge,0.3741,us-west-2a,2016-01-01,6,3,0.375237
m4.10xlarge,0.3751,us-west-2a,2016-01-01,7,0,0.375099
m4.10xlarge,0.3751,us-west-2a,2016-01-01,7,1,0.374113
m4.10xlarge,0.3731,us-west-2a,2016-01-01,7,2,0.374587
m4.10xlarge,0.3771,us-west-2a,2016-01-01,7,3,0.374911
m4.10xlarge,0.3731,us-west-2a,2016-01-01,8,0,0.370332
m4.10xlarge,0.3706,us-west-2a,2016-01-01,8,1,0.371427
m4.10xlarge,0.3725,us-west-2a,2016-01-01,8,2,0.373128
m4.10xlarge,0.3735,us-west-2a,2016-01-01,8,3,0.373134
m4.10xlarge,0.3735,us-west-2a,2016-01-01,9,0,0.372247
m4.10xlarge,0.3725,us-west-2a,2016-01-01,9,1,0.371422
m4.10xlarge,0.3706,us-west-2a,2016-01-01,9,2,0.371564
m4.10xlarge,0.3735,us-west-2a,2016-01-01,9,3,0.373462
m4.10xlarge,0.3725,us-west-2a,2016-01-01,10,0,0.372896
m4.10xlarge,0.3735,us-west-2a,2016-01-01,10,1,0.373408
m4.10xlarge,0.3735,us-west-2a,2016-01-01,10,2,0.373298
m4.10xlarge,0.3725,us-west-2a,2016-01-01,10,3,0.37323
m4.10xlarge,0.3725,us-west-2a,2016-01-01,11,0,0.371946
m4.10xlarge,0.3715,us-west-2a,2016-01-01,11,1,0.37076
m4.10xlarge,0.3706,us-west-2a,2016-01-01,11,2,0.371373
m4.10xlarge,0.3735,us-west-2a,2016-01-01,11,3,0.372698
m4.10xlarge,0.3725,us-west-2a,2016-01-01,12,0,0.373114
m4.10xlarge,0.3735,us-west-2a,2016-01-01,12,1,0.37118
m4.10xlarge,0.369,us-west-2a,2016-01-01,12,2,0.369549
m4.10xlarge,0.369,us-west-2a,2016-01-01,12,3,0.369277
m4.10xlarge,0.369,us-west-2a,2016-01-01,13,0,0.3701
m4.10xlarge,0.37,us-west-2a,2016-01-01,13,1,0.3701
m4.10xlarge,0.3709,us-west-2a,2016-01-01,13,2,0.37139
m4.10xlarge,0.3719,us-west-2a,2016-01-01,13,3,0.370735
m4.10xlarge,0.3709,us-west-2a,2016-01-01,14,0,0.3709
m4.10xlarge,0.3709,us-west-2a,2016-01-01,14,1,0.370994
m4.10xlarge,0.3719,us-west-2a,2016-01-01,14,2,0.370566
