InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.10xlarge,0.3271,us-west-2c,2016-01-01,0.316012
m4.10xlarge,0.3025,us-west-2c,2016-01-02,0.305929
m4.10xlarge,0.3226,us-west-2c,2016-01-03,0.320991
m4.10xlarge,0.299,us-west-2c,2016-01-04,0.307946
m4.10xlarge,0.3176,us-west-2c,2016-01-05,0.313267
m4.10xlarge,0.3218,us-west-2c,2016-01-06,0.31488
m4.10xlarge,0.3184,us-west-2c,2016-01-07,0.323129
m4.10xlarge,0.3351,us-west-2c,2016-01-08,0.411895
m4.10xlarge,0.4177,us-west-2c,2016-01-09,0.422997
m4.10xlarge,0.4283,us-west-2c,2016-01-10,0.419432
m4.10xlarge,0.4219,us-west-2c,2016-01-11,0.419522
m4.10xlarge,0.4032,us-west-2c,2016-01-12,0.405218
m4.10xlarge,0.4093,us-west-2c,2016-01-13,0.37083
m4.10xlarge,0.35,us-west-2c,2016-01-14,0.355033
m4.10xlarge,0.4093,us-west-2c,2016-01-15,0.402312
m4.10xlarge,0.35,us-west-2c,2016-01-16,0.350226
m4.10xlarge,0.35,us-west-2c,2016-01-17,0.349843
m4.10xlarge,0.35,us-west-2c,2016-01-18,0.36182
m4.10xlarge,0.4009,us-west-2c,2016-01-19,0.357319
m4.10xlarge,0.5443,us-west-2c,2016-01-20,0.473563
m4.10xlarge,0.7198,us-west-2c,2016-01-21,0.628146
m4.10xlarge,0.5287,us-west-2c,2016-01-22,5.203657
m4.10xlarge,0.9038,us-west-2c,2016-01-23,9.441868
m4.10xlarge,0.3996,us-west-2c,2016-01-24,0.70962
m4.10xlarge,0.5582,us-west-2c,2016-01-25,0.91722
m4.10xlarge,0.4387,us-west-2c,2016-01-26,0.330604
m4.10xlarge,0.4069,us-west-2c,2016-01-27,0.396817
m4.10xlarge,0.69,us-west-2c,2016-01-28,0.521566
m4.10xlarge,0.5226,us-west-2c,2016-01-29,0.512525
m4.10xlarge,0.4431,us-west-2c,2016-01-30,0.32249
m4.10xlarge,0.2956,us-west-2c,2016-01-31,0.289065
m4.10xlarge,0.2863,us-west-2c,2016-02-01,0.309904
m4.10xlarge,0.4189,us-west-2c,2016-02-02,7.533083
m4.10xlarge,0.304,us-west-2c,2016-02-03,0.2919
m4.10xlarge,0.3237,us-west-2c,2016-02-04,0.292685
m4.10xlarge,0.2973,us-west-2c,2016-02-05,0.303632
m4.10xlarge,0.4013,us-west-2c,2016-02-06,0.294673
m4.10xlarge,0.2868,us-west-2c,2016-02-07,0.272964
m4.10xlarge,0.2873,us-west-2c,2016-02-08,0.378975
m4.10xlarge,0.75,us-west-2c,2016-02-09,0.384938
m4.10xlarge,0.3679,us-west-2c,2016-02-10,0.338091
m4.10xlarge,0.3226,us-west-2c,2016-02-11,0.318197
m4.10xlarge,0.3976,us-west-2c,2016-02-12,0.394217
m4.10xlarge,0.398,us-west-2c,2016-02-13,0.336017
m4.10xlarge,0.3509,us-west-2c,2016-02-14,0.317785
m4.10xlarge,0.309,us-west-2c,2016-02-15,0.319683
m4.10xlarge,0.3474,us-west-2c,2016-02-16,0.317459
m4.10xlarge,0.3629,us-west-2c,2016-02-17,0.342504
m4.10xlarge,0.4461,us-west-2c,2016-02-18,0.390071
m4.10xlarge,0.5127,us-west-2c,2016-02-19,0.367583
m4.10xlarge,0.4664,us-west-2c,2016-02-20,0.315852
m4.10xlarge,0.3398,us-west-2c,2016-02-21,0.306025
m4.10xlarge,0.3023,us-west-2c,2016-02-22,0.392604
m4.10xlarge,0.75,us-west-2c,2016-02-23,0.435667
