InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.3271,us-west-2c,2016-01-01,0,0.325585
m4.10xlarge,0.3271,us-west-2c,2016-01-01,1,0.325564
m4.10xlarge,0.3262,us-west-2c,2016-01-01,2,0.326987
m4.10xlarge,0.3262,us-west-2c,2016-01-01,3,0.326115
m4.10xlarge,0.3281,us-west-2c,2016-01-01,4,0.327681
m4.10xlarge,0.3196,us-west-2c,2016-01-01,5,0.320728
m4.10xlarge,0.3205,us-west-2c,2016-01-01,6,0.320447
m4.10xlarge,0.3196,us-west-2c,2016-01-01,7,0.321342
m4.10xlarge,0.3214,us-west-2c,2016-01-01,8,0.321636
m4.10xlarge,0.3232,us-west-2c,2016-01-01,9,0.320406
m4.10xlarge,0.3188,us-west-2c,2016-01-01,10,0.320024
m4.10xlarge,0.3188,us-west-2c,2016-01-01,11,0.320321
m4.10xlarge,0.3196,us-west-2c,2016-01-01,12,0.320023
m4.10xlarge,0.3196,us-west-2c,2016-01-01,13,0.320056
m4.10xlarge,0.3188,us-west-2c,2016-01-01,14,0.319571
m4.10xlarge,0.3188,us-west-2c,2016-01-01,15,0.319192
m4.10xlarge,0.3205,us-west-2c,2016-01-01,16,0.315315
m4.10xlarge,0.3079,us-west-2c,2016-01-01,17,0.303393
m4.10xlarge,0.3025,us-west-2c,2016-01-01,18,0.30248
m4.10xlarge,0.3045,us-west-2c,2016-01-01,19,0.302943
m4.10xlarge,0.3013,us-west-2c,2016-01-01,20,0.302581
m4.10xlarge,0.3025,us-west-2c,2016-01-01,21,0.301883
m4.10xlarge,0.3032,us-west-2c,2016-01-01,22,0.298245
m4.10xlarge,0.3013,us-west-2c,2016-01-01,23,0.301781
m4.10xlarge,0.3025,us-west-2c,2016-01-02,0,0.297253
m4.10xlarge,0.2972,us-west-2c,2016-01-02,1,0.299283
m4.10xlarge,0.3079,us-west-2c,2016-01-02,2,0.308125
m4.10xlarge,0.3079,us-west-2c,2016-01-02,3,0.308092
m4.10xlarge,0.3086,us-west-2c,2016-01-02,4,0.307749
m4.10xlarge,0.3086,us-west-2c,2016-01-02,5,0.30714
m4.10xlarge,0.3072,us-west-2c,2016-01-02,6,0.308244
m4.10xlarge,0.3101,us-west-2c,2016-01-02,7,0.307039
m4.10xlarge,0.3052,us-west-2c,2016-01-02,8,0.300139
m4.10xlarge,0.299,us-west-2c,2016-01-02,9,0.299774
m4.10xlarge,0.3007,us-west-2c,2016-01-02,10,0.300838
m4.10xlarge,0.3007,us-west-2c,2016-01-02,11,0.299426
