InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.10xlarge,0.3866,us-west-2a,2016-01-01,0.380101
m4.10xlarge,0.3345,us-west-2a,2016-01-02,0.316329
m4.10xlarge,0.3148,us-west-2a,2016-01-03,0.311663
m4.10xlarge,0.3033,us-west-2a,2016-01-04,0.331331
m4.10xlarge,0.4085,us-west-2a,2016-01-05,0.43727
m4.10xlarge,0.4686,us-west-2a,2016-01-06,0.379249
m4.10xlarge,0.4875,us-west-2a,2016-01-07,0.380492
m4.10xlarge,0.3858,us-west-2a,2016-01-08,0.399892
m4.10xlarge,0.4738,us-west-2a,2016-01-09,0.401082
m4.10xlarge,0.4092,us-west-2a,2016-01-10,0.398606
m4.10xlarge,0.4601,us-west-2a,2016-01-11,0.431459
m4.10xlarge,0.5579,us-west-2a,2016-01-12,0.480049
m4.10xlarge,0.6516,us-west-2a,2016-01-13,0.439643
m4.10xlarge,0.5401,us-west-2a,2016-01-14,0.441088
m4.10xlarge,0.501,us-west-2a,2016-01-15,0.487245
m4.10xlarge,0.5031,us-west-2a,2016-01-16,0.427456
m4.10xlarge,0.4439,us-west-2a,2016-01-17,0.398996
m4.10xlarge,0.4155,us-west-2a,2016-01-18,0.396772
m4.10xlarge,0.6313,us-west-2a,2016-01-19,0.444833
m4.10xlarge,0.507,us-west-2a,2016-01-20,0.457028
m4.10xlarge,0.6459,us-west-2a,2016-01-21,0.507373
m4.10xlarge,0.69,us-west-2a,2016-01-22,0.601073
m4.10xlarge,1.5,us-west-2a,2016-01-23,0.607715
m4.10xlarge,0.5876,us-west-2a,2016-01-24,0.685648
m4.10xlarge,1.4314,us-west-2a,2016-01-25,2.731969
m4.10xlarge,0.5143,us-west-2a,2016-01-26,0.538279
m4.10xlarge,0.3542,us-west-2a,2016-01-27,7.361212
m4.10xlarge,2.52,us-west-2a,2016-01-28,1.365427
m4.10xlarge,2.52,us-west-2a,2016-01-29,2.406678
m4.10xlarge,2.52,us-west-2a,2016-01-30,0.775761
m4.10xlarge,0.2777,us-west-2a,2016-01-31,0.266505
m4.10xlarge,0.2627,us-west-2a,2016-02-01,0.322151
m4.10xlarge,0.69,us-west-2a,2016-02-02,0.608602
m4.10xlarge,0.69,us-west-2a,2016-02-03,0.556493
m4.10xlarge,0.69,us-west-2a,2016-02-04,0.49213
m4.10xlarge,0.5559,us-west-2a,2016-02-05,0.501393
m4.10xlarge,0.69,us-west-2a,2016-02-06,0.417391
m4.10xlarge,0.6412,us-west-2a,2016-02-07,0.367299
m4.10xlarge,0.4678,us-west-2a,2016-02-08,0.523913
m4.10xlarge,0.69,us-west-2a,2016-02-09,0.553245
m4.10xlarge,0.69,us-west-2a,2016-02-10,0.513361
m4.10xlarge,0.5671,us-west-2a,2016-02-11,0.481885
m4.10xlarge,0.4585,us-west-2a,2016-02-12,0.435759
m4.10xlarge,0.4733,us-west-2a,2016-02-13,0.345277
m4.10xlarge,0.38,us-west-2a,2016-02-14,0.312817
m4.10xlarge,0.2957,us-west-2a,2016-02-15,0.309822
m4.10xlarge,0.2821,us-west-2a,2016-02-16,0.280113
