InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.10xlarge,0.448,us-west-2b,2016-01-01,0.398036
m4.10xlarge,0.3003,us-west-2b,2016-01-02,0.298668
m4.10xlarge,0.298,us-west-2b,2016-01-03,0.297675
m4.10xlarge,0.2954,us-west-2b,2016-01-04,0.305585
m4.10xlarge,0.3064,us-west-2b,2016-01-05,0.312407
m4.10xlarge,0.319,us-west-2b,2016-01-06,0.311967
m4.10xlarge,0.3162,us-west-2b,2016-01-07,0.314507
m4.10xlarge,0.3172,us-west-2b,2016-01-08,0.386212
m4.10xlarge,0.3926,us-west-2b,2016-01-09,0.405978
m4.10xlarge,0.4149,us-west-2b,2016-01-10,0.407389
m4.10xlarge,0.4112,us-west-2b,2016-01-11,0.411001
m4.10xlarge,0.4077,us-west-2b,2016-01-12,0.401724
m4.10xlarge,0.4021,us-west-2b,2016-01-13,0.382381
m4.10xlarge,0.4427,us-west-2b,2016-01-14,0.448094
m4.10xlarge,0.4359,us-west-2b,2016-01-15,0.443289
m4.10xlarge,0.4518,us-west-2b,2016-01-16,0.401492
m4.10xlarge,0.3649,us-west-2b,2016-01-17,0.364084
m4.10xlarge,0.3684,us-west-2b,2016-01-18,0.375739
m4.10xlarge,0.3771,us-west-2b,2016-01-19,0.353825
m4.10xlarge,0.3494,us-west-2b,2016-01-20,0.361959
m4.10xlarge,0.3751,us-west-2b,2016-01-21,0.499466
m4.10xlarge,0.9355,us-west-2b,2016-01-22,2.169349
m4.10xlarge,0.3996,us-west-2b,2016-01-23,0.984265
m4.10xlarge,0.4416,us-west-2b,2016-01-24,1.596304
m4.10xlarge,1.3857,us-west-2b,2016-01-25,3.142946
m4.10xlarge,2.52,us-west-2b,2016-01-26,0.676295
m4.10xlarge,0.36,us-west-2b,2016-01-27,4.107444
m4.10xlarge,0.4173,us-west-2b,2016-01-28,0.465926
m4.10xlarge,0.5663,us-west-2b,2016-01-29,0.533615
m4.10xlarge,0.6213,us-west-2b,2016-01-30,0.403755
m4.10xlarge,0.2815,us-west-2b,2016-01-31,0.273296
m4.10xlarge,0.2708,us-west-2b,2016-02-01,0.275402
m4.10xlarge,0.3013,us-west-2b,2016-02-02,0.410637
m4.10xlarge,0.4092,us-west-2b,2016-02-03,0.378502
m4.10xlarge,0.3547,us-west-2b,2016-02-04,0.335373
m4.10xlarge,0.3112,us-west-2b,2016-02-05,0.298736
m4.10xlarge,0.3382,us-west-2b,2016-02-06,0.313786
m4.10xlarge,0.3101,us-west-2b,2016-02-07,0.3702
m4.10xlarge,0.3776,us-west-2b,2016-02-08,0.409253
m4.10xlarge,0.4853,us-west-2b,2016-02-09,0.39873
m4.10xlarge,0.3884,us-west-2b,2016-02-10,0.419121
m4.10xlarge,0.3901,us-west-2b,2016-02-11,0.386616
m4.10xlarge,0.3877,us-west-2b,2016-02-12,0.410339
m4.10xlarge,0.4355,us-west-2b,2016-02-13,0.414998
m4.10xlarge,0.4092,us-west-2b,2016-02-14,0.435842
m4.10xlarge,0.3396,us-west-2b,2016-02-15,0.336342
m4.10xlarge,0.3793,us-west-2b,2016-02-16,0.343533
m4.10xlarge,0.3451,us-west-2b,2016-02-17,0.356101
m4.10xlarge,0.341,us-west-2b,2016-02-18,0.329525
m4.10xlarge,0.3888,us-west-2b,2016-02-19,0.311365
m4.10xlarge,0.3281,us-west-2b,2016-02-20,0.317515
m4.10xlarge,0.3615,us-west-2b,2016-02-21,0.368812
m4.10xlarge,0.3754,us-west-2b,2016-02-22,0.397271
m4.10xlarge,0.4203,us-west-2b,2016-02-23,0.386494
m4.10xlarge,0.3615,us-west-2b,2016-02-24,0.517373
m4.10xlarge,0.6776,us-west-2b,2016-02-25,0.51718
m4.10xlarge,0.66,us-west-2b,2016-02-26,0.411753
m4.10xlarge,0.3744,us-west-2b,2016-02-27,0.361066
m4.10xlarge,0.578,us-west-2b,2016-02-28,0.666521
m4.10xlarge,0.6962,us-west-2b,2016-02-29,0.608301
m4.2xlarge,0.0778,us-west-2b,2016-01-01,0.066282
m4.2xlarge,0.0658,us-west-2b,2016-01-02,0.068072
m4.2xlarge,0.0649,us-west-2b,2016-01-03,0.068497
m4.2xlarge,0.0753,us-west-2b,2016-01-04,0.070744
m4.2xlarge,0.0821,us-west-2b,2016-01-05,0.074712
m4.2xlarge,0.0807,us-west-2b,2016-01-06,0.076283
m4.2xlarge,0.084,us-west-2b,2016-01-07,0.076837
m4.2xlarge,0.0804,us-west-2b,2016-01-08,0.079698
m4.2xlarge,0.0828,us-west-2b,2016-01-09,0.078803
m4.2xlarge,0.0805,us-west-2b,2016-01-10,0.076552
m4.2xlarge,0.0784,us-west-2b,2016-01-11,0.079129
m4.2xlarge,0.093,us-west-2b,2016-01-12,0.083262
m4.2xlarge,0.0848,us-west-2b,2016-01-13,0.089991
m4.2xlarge,0.1,us-west-2b,2016-01-14,0.08852
m4.2xlarge,0.0955,us-west-2b,2016-01-15,0.089385
m4.2xlarge,0.0914,us-west-2b,2016-01-16,0.08837
m4.2xlarge,0.091,us-west-2b,2016-01-17,0.087921
m4.2xlarge,0.0861,us-west-2b,2016-01-18,0.091471
m4.2xlarge,0.1036,us-west-2b,2016-01-19,0.09601
m4.2xlarge,0.1041,us-west-2b,2016-01-20,0.101779
m4.2xlarge,0.1058,us-west-2b,2016-01-21,0.099682
