InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.448,us-west-2b,2016-01-01,0,0.4502
m4.10xlarge,0.448,us-west-2b,2016-01-01,1,0.426665
m4.10xlarge,0.4051,us-west-2b,2016-01-01,2,0.407273
m4.10xlarge,0.4051,us-west-2b,2016-01-01,3,0.404176
m4.10xlarge,0.4032,us-west-2b,2016-01-01,4,0.40448
m4.10xlarge,0.4051,us-west-2b,2016-01-01,5,0.404954
m4.10xlarge,0.4032,us-west-2b,2016-01-01,6,0.405404
m4.10xlarge,0.4051,us-west-2b,2016-01-01,7,0.405981
m4.10xlarge,0.4072,us-west-2b,2016-01-01,8,0.405386
m4.10xlarge,0.4092,us-west-2b,2016-01-01,9,0.405875
m4.10xlarge,0.4051,us-west-2b,2016-01-01,10,0.403661
m4.10xlarge,0.4032,us-west-2b,2016-01-01,11,0.405288
m4.10xlarge,0.4072,us-west-2b,2016-01-01,12,0.404922
m4.10xlarge,0.4032,us-west-2b,2016-01-01,13,0.401149
m4.10xlarge,0.3906,us-west-2b,2016-01-01,14,0.389723
m4.10xlarge,0.3906,us-west-2b,2016-01-01,15,0.390019
m4.10xlarge,0.3828,us-west-2b,2016-01-01,16,0.383655
m4.10xlarge,0.3858,us-west-2b,2016-01-01,17,0.38534
m4.10xlarge,0.3828,us-west-2b,2016-01-01,18,0.379848
m4.10xlarge,0.3771,us-west-2b,2016-01-01,19,0.377244
m4.10xlarge,0.3785,us-west-2b,2016-01-01,20,0.377802
m4.10xlarge,0.3771,us-west-2b,2016-01-01,21,0.37896
m4.10xlarge,0.3771,us-west-2b,2016-01-01,22,0.378994
m4.10xlarge,0.3771,us-west-2b,2016-01-01,23,0.375858
m4.10xlarge,0.3003,us-west-2b,2016-01-02,0,0.300298
m4.10xlarge,0.3008,us-west-2b,2016-01-02,1,0.300521
m4.10xlarge,0.2998,us-west-2b,2016-01-02,2,0.300249
m4.10xlarge,0.3024,us-west-2b,2016-01-02,3,0.301093
m4.10xlarge,0.3003,us-west-2b,2016-01-02,4,0.300093
m4.10xlarge,0.3003,us-west-2b,2016-01-02,5,0.30047
m4.10xlarge,0.2998,us-west-2b,2016-01-02,6,0.298596
m4.10xlarge,0.2984,us-west-2b,2016-01-02,7,0.29852
m4.10xlarge,0.2984,us-west-2b,2016-01-02,8,0.298778
m4.10xlarge,0.2984,us-west-2b,2016-01-02,9,0.298476
m4.10xlarge,0.2984,us-west-2b,2016-01-02,10,0.298601
m4.10xlarge,0.298,us-west-2b,2016-01-02,11,0.298246
m4.10xlarge,0.2975,us-west-2b,2016-01-02,12,0.297941
m4.10xlarge,0.2993,us-west-2b,2016-01-02,13,0.29808
m4.10xlarge,0.2975,us-west-2b,2016-01-02,14,0.298085
m4.10xlarge,0.298,us-west-2b,2016-01-02,15,0.298515
m4.10xlarge,0.298,us-west-2b,2016-01-02,16,0.298176
m4.10xlarge,0.2975,us-west-2b,2016-01-02,17,0.297367
m4.10xlarge,0.2975,us-west-2b,2016-01-02,18,0.297682
m4.10xlarge,0.2975,us-west-2b,2016-01-02,19,0.297389
m4.10xlarge,0.2984,us-west-2b,2016-01-02,20,0.297778
m4.10xlarge,0.2975,us-west-2b,2016-01-02,21,0.297548
m4.10xlarge,0.2975,us-west-2b,2016-01-02,22,0.297797
m4.10xlarge,0.2975,us-west-2b,2016-01-02,23,0.297721
m4.10xlarge,0.298,us-west-2b,2016-01-03,0,0.297415
m4.10xlarge,0.2975,us-west-2b,2016-01-03,1,0.297948
m4.10xlarge,0.298,us-west-2b,2016-01-03,2,0.297814
m4.10xlarge,0.2989,us-west-2b,2016-01-03,3,0.297523
m4.10xlarge,0.298,us-west-2b,2016-01-03,4,0.297099
m4.10xlarge,0.2971,us-west-2b,2016-01-03,5,0.297511
m4.10xlarge,0.2975,us-west-2b,2016-01-03,6,0.298081
m4.10xlarge,0.301,us-west-2b,2016-01-03,7,0.300639
m4.10xlarge,0.301,us-west-2b,2016-01-03,8,0.300496
m4.10xlarge,0.3006,us-west-2b,2016-01-03,9,0.3004
m4.10xlarge,0.3006,us-west-2b,2016-01-03,10,0.300429
m4.10xlarge,0.3006,us-west-2b,2016-01-03,11,0.300423
m4.10xlarge,0.3001,us-west-2b,2016-01-03,12,0.300494
m4.10xlarge,0.301,us-west-2b,2016-01-03,13,0.297116
m4.10xlarge,0.2954,us-west-2b,2016-01-03,14,0.295689
m4.10xlarge,0.2954,us-west-2b,2016-01-03,15,0.295752
m4.10xlarge,0.2966,us-west-2b,2016-01-03,16,0.295821
m4.10xlarge,0.2958,us-west-2b,2016-01-03,17,0.295431
m4.10xlarge,0.2975,us-west-2b,2016-01-03,18,0.296343
m4.10xlarge,0.2958,us-west-2b,2016-01-03,19,0.296502
