InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,QHOUR,AVG_SP
m4.10xlarge,0.448,us-west-2b,2016-01-01,0,0,0.448
m4.10xlarge,0.448,us-west-2b,2016-01-01,0,1,0.448
m4.10xlarge,0.448,us-west-2b,2016-01-01,0,2,0.453014
m4.10xlarge,0.4591,us-west-2b,2016-01-01,0,3,0.451785
m4.10xlarge,0.448,us-west-2b,2016-01-01,1,0,0.449695
m4.10xlarge,0.4507,us-west-2b,2016-01-01,1,1,0.446859
m4.10xlarge,0.4283,us-west-2b,2016-01-01,1,2,0.403857
m4.10xlarge,0.4051,us-west-2b,2016-01-01,1,3,0.40625
m4.10xlarge,0.4051,us-west-2b,2016-01-01,2,0,0.407405
m4.10xlarge,0.4092,us-west-2b,2016-01-01,2,1,0.407706
m4.10xlarge,0.4051,us-west-2b,2016-01-01,2,2,0.406902
m4.10xlarge,0.4113,us-west-2b,2016-01-01,2,3,0.407077
m4.10xlarge,0.4051,us-west-2b,2016-01-01,3,0,0.404682
m4.10xlarge,0.4032,us-west-2b,2016-01-01,3,1,0.404583
m4.10xlarge,0.4032,us-west-2b,2016-01-01,3,2,0.4032
m4.10xlarge,0.4032,us-west-2b,2016-01-01,3,3,0.404239
m4.10xlarge,0.4032,us-west-2b,2016-01-01,4,0,0.404836
m4.10xlarge,0.4072,us-west-2b,2016-01-01,4,1,0.404953
m4.10xlarge,0.4032,us-west-2b,2016-01-01,4,2,0.403726
m4.10xlarge,0.4051,us-west-2b,2016-01-01,4,3,0.404405
m4.10xlarge,0.4051,us-west-2b,2016-01-01,5,0,0.407328
m4.10xlarge,0.4092,us-west-2b,2016-01-01,5,1,0.405711
m4.10xlarge,0.4051,us-west-2b,2016-01-01,5,2,0.403576
m4.10xlarge,0.4032,us-west-2b,2016-01-01,5,3,0.4032
m4.10xlarge,0.4032,us-west-2b,2016-01-01,6,0,0.404241
m4.10xlarge,0.4032,us-west-2b,2016-01-01,6,1,0.406383
m4.10xlarge,0.4051,us-west-2b,2016-01-01,6,2,0.404758
m4.10xlarge,0.4051,us-west-2b,2016-01-01,6,3,0.406234
m4.10xlarge,0.4051,us-west-2b,2016-01-01,7,0,0.406977
m4.10xlarge,0.4051,us-west-2b,2016-01-01,7,1,0.404163
m4.10xlarge,0.4032,us-west-2b,2016-01-01,7,2,0.404997
m4.10xlarge,0.4051,us-west-2b,2016-01-01,7,3,0.407787
m4.10xlarge,0.4072,us-west-2b,2016-01-01,8,0,0.406215
m4.10xlarge,0.4051,us-west-2b,2016-01-01,8,1,0.4051
m4.10xlarge,0.4051,us-west-2b,2016-01-01,8,2,0.406116
m4.10xlarge,0.4032,us-west-2b,2016-01-01,8,3,0.404113
m4.10xlarge,0.4092,us-west-2b,2016-01-01,9,0,0.407663
m4.10xlarge,0.4051,us-west-2b,2016-01-01,9,1,0.405774
m4.10xlarge,0.4072,us-west-2b,2016-01-01,9,2,0.403806
m4.10xlarge,0.4051,us-west-2b,2016-01-01,9,3,0.406255
m4.10xlarge,0.4051,us-west-2b,2016-01-01,10,0,0.404522
m4.10xlarge,0.4032,us-west-2b,2016-01-01,10,1,0.4032
m4.10xlarge,0.4032,us-west-2b,2016-01-01,10,2,0.403724
