InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,QHOUR,AVG_SP
m4.10xlarge,0.3271,us-west-2c,2016-01-01,0,0,0.326237
m4.10xlarge,0.3271,us-west-2c,2016-01-01,0,1,0.325398
m4.10xlarge,0.3243,us-west-2c,2016-01-01,0,2,0.324794
m4.10xlarge,0.3243,us-west-2c,2016-01-01,0,3,0.325911
m4.10xlarge,0.3271,us-west-2c,2016-01-01,1,0,0.325922
m4.10xlarge,0.3262,us-west-2c,2016-01-01,1,1,0.326118
m4.10xlarge,0.3252,us-west-2c,2016-01-01,1,2,0.32487
m4.10xlarge,0.3252,us-west-2c,2016-01-01,1,3,0.325347
m4.10xlarge,0.3262,us-west-2c,2016-01-01,2,0,0.327837
m4.10xlarge,0.3271,us-west-2c,2016-01-01,2,1,0.326804
m4.10xlarge,0.3262,us-west-2c,2016-01-01,2,2,0.327746
m4.10xlarge,0.3262,us-west-2c,2016-01-01,2,3,0.325559
m4.10xlarge,0.3262,us-west-2c,2016-01-01,3,0,0.32644
m4.10xlarge,0.3262,us-west-2c,2016-01-01,3,1,0.326364
m4.10xlarge,0.3262,us-west-2c,2016-01-01,3,2,0.325441
m4.10xlarge,0.3252,us-west-2c,2016-01-01,3,3,0.326216
m4.10xlarge,0.3281,us-west-2c,2016-01-01,4,0,0.329515
m4.10xlarge,0.3324,us-west-2c,2016-01-01,4,1,0.327657
m4.10xlarge,0.3271,us-west-2c,2016-01-01,4,2,0.327205
m4.10xlarge,0.3262,us-west-2c,2016-01-01,4,3,0.326347
m4.10xlarge,0.3196,us-west-2c,2016-01-01,5,0,0.320251
m4.10xlarge,0.3205,us-west-2c,2016-01-01,5,1,0.322057
m4.10xlarge,0.3214,us-west-2c,2016-01-01,5,2,0.320251
m4.10xlarge,0.3214,us-west-2c,2016-01-01,5,3,0.320352
m4.10xlarge,0.3205,us-west-2c,2016-01-01,6,0,0.320168
m4.10xlarge,0.3205,us-west-2c,2016-01-01,6,1,0.321976
m4.10xlarge,0.3205,us-west-2c,2016-01-01,6,2,0.320043
m4.10xlarge,0.3196,us-west-2c,2016-01-01,6,3,0.3196
m4.10xlarge,0.3196,us-west-2c,2016-01-01,7,0,0.321122
m4.10xlarge,0.3223,us-west-2c,2016-01-01,7,1,0.321494
m4.10xlarge,0.3205,us-west-2c,2016-01-01,7,2,0.321376
m4.10xlarge,0.3223,us-west-2c,2016-01-01,7,3,0.321374
m4.10xlarge,0.3214,us-west-2c,2016-01-01,8,0,0.321729
m4.10xlarge,0.3214,us-west-2c,2016-01-01,8,1,0.321982
m4.10xlarge,0.3214,us-west-2c,2016-01-01,8,2,0.321728
m4.10xlarge,0.3214,us-west-2c,2016-01-01,8,3,0.321104
m4.10xlarge,0.3232,us-west-2c,2016-01-01,9,0,0.32182
m4.10xlarge,0.3205,us-west-2c,2016-01-01,9,1,0.320303
m4.10xlarge,0.3214,us-west-2c,2016-01-01,9,2,0.320031
m4.10xlarge,0.3214,us-west-2c,2016-01-01,9,3,0.31947
m4.10xlarge,0.3188,us-west-2c,2016-01-01,10,0,0.319757
m4.10xlarge,0.3205,us-west-2c,2016-01-01,10,1,0.322334
m4.10xlarge,0.3205,us-west-2c,2016-01-01,10,2,0.319205
m4.10xlarge,0.3188,us-west-2c,2016-01-01,10,3,0.3188
m4.10xlarge,0.3188,us-west-2c,2016-01-01,11,0,0.319024
m4.10xlarge,0.3196,us-west-2c,2016-01-01,11,1,0.32108
m4.10xlarge,0.3196,us-west-2c,2016-01-01,11,2,0.320005
m4.10xlarge,0.3205,us-west-2c,2016-01-01,11,3,0.321175
m4.10xlarge,0.3196,us-west-2c,2016-01-01,12,0,0.320182
m4.10xlarge,0.3196,us-west-2c,2016-01-01,12,1,0.320064
m4.10xlarge,0.3205,us-west-2c,2016-01-01,12,2,0.320088
m4.10xlarge,0.3188,us-west-2c,2016-01-01,12,3,0.319757
m4.10xlarge,0.3196,us-west-2c,2016-01-01,13,0,0.319888
m4.10xlarge,0.3205,us-west-2c,2016-01-01,13,1,0.319842
m4.10xlarge,0.3196,us-west-2c,2016-01-01,13,2,0.321178
m4.10xlarge,0.3188,us-west-2c,2016-01-01,13,3,0.319315
m4.10xlarge,0.3188,us-west-2c,2016-01-01,14,0,0.320048
m4.10xlarge,0.3214,us-west-2c,2016-01-01,14,1,0.320183
m4.10xlarge,0.3196,us-west-2c,2016-01-01,14,2,0.319086
m4.10xlarge,0.3196,us-west-2c,2016-01-01,14,3,0.318967
m4.10xlarge,0.3188,us-west-2c,2016-01-01,15,0,0.3188
m4.10xlarge,0.3188,us-west-2c,2016-01-01,15,1,0.319329
m4.10xlarge,0.3188,us-west-2c,2016-01-01,15,2,0.3188
m4.10xlarge,0.3188,us-west-2c,2016-01-01,15,3,0.319838
m4.10xlarge,0.3205,us-west-2c,2016-01-01,16,0,0.321734
m4.10xlarge,0.3205,us-west-2c,2016-01-01,16,1,0.3205
m4.10xlarge,0.3205,us-west-2c,2016-01-01,16,2,0.310804
m4.10xlarge,0.3079,us-west-2c,2016-01-01,16,3,0.30822
m4.10xlarge,0.3079,us-west-2c,2016-01-01,17,0,0.304414
m4.10xlarge,0.3038,us-west-2c,2016-01-01,17,1,0.302938
m4.10xlarge,0.3025,us-west-2c,2016-01-01,17,2,0.30307
m4.10xlarge,0.3038,us-west-2c,2016-01-01,17,3,0.30315
m4.10xlarge,0.3025,us-west-2c,2016-01-01,18,0,0.303067
m4.10xlarge,0.3025,us-west-2c,2016-01-01,18,1,0.302445
m4.10xlarge,0.3025,us-west-2c,2016-01-01,18,2,0.302097
m4.10xlarge,0.3019,us-west-2c,2016-01-01,18,3,0.302313
m4.10xlarge,0.3045,us-west-2c,2016-01-01,19,0,0.304637
m4.10xlarge,0.3032,us-west-2c,2016-01-01,19,1,0.302738
m4.10xlarge,0.3019,us-west-2c,2016-01-01,19,2,0.302782
m4.10xlarge,0.3038,us-west-2c,2016-01-01,19,3,0.301613
m4.10xlarge,0.3013,us-west-2c,2016-01-01,20,0,0.302356
m4.10xlarge,0.3032,us-west-2c,2016-01-01,20,1,0.303046
m4.10xlarge,0.3038,us-west-2c,2016-01-01,20,2,0.302647
m4.10xlarge,0.3019,us-west-2c,2016-01-01,20,3,0.302274
m4.10xlarge,0.3025,us-west-2c,2016-01-01,21,0,0.301976
